Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Product ID,Sales,Quantity,Discount,Profit,Cost of Sale,RegionManager,Returned
14,CA-2020-161389,2020-12-05,2020-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,OFF-BI-10003656,407.976,3,0.2,132.5922,1091.3358,Sadie Pawthorne,FALSE
15,US-2019-118983,2019-11-22,2019-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",OFF-AP-10002311,68.81,5,0.8,-123.858,467.908,Roxanne Rodriguez,FALSE
16,US-2019-118983,2019-11-22,2019-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,OFF-BI-10000756,2.544,3,0.8,-3.816,11.448,Roxanne Rodriguez,FALSE
17,CA-2018-105893,2018-11-11,2018-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",OFF-ST-10004186,665.88,6,0,13.3176,3981.9624,Roxanne Rodriguez,FALSE
18,CA-2018-167164,2018-05-13,2018-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,OFF-ST-10000107,55.5,2,0,9.99,101.01,Sadie Pawthorne,FALSE
19,CA-2018-143336,2018-08-27,2018-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,Newell 341,OFF-AR-10003056,8.56,2,0,2.4824,14.6376,Sadie Pawthorne,TRUE
20,CA-2018-143336,2018-08-27,2018-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,Cisco SPA 501G IP Phone,TEC-PH-10001949,213.48,3,0.2,16.011,624.429,Sadie Pawthorne,TRUE
21,CA-2018-143336,2018-08-27,2018-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",OFF-BI-10002215,22.72,4,0.2,7.384,83.496,Sadie Pawthorne,TRUE
22,CA-2020-137330,2020-12-09,2020-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,Newell 318,OFF-AR-10000246,19.46,7,0,5.0596,131.1604,Roxanne Rodriguez,FALSE
23,CA-2020-137330,2020-12-09,2020-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",OFF-AP-10001492,60.34,7,0,15.6884,406.6916,Roxanne Rodriguez,FALSE
24,US-2021-156909,2021-07-16,2021-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",FUR-CH-10002774,71.372,2,0.3,-1.0196,143.7636,Chuck Magee,FALSE
25,CA-2019-106320,2019-09-25,2019-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,FUR-TA-10000577,1044.63,3,0,240.2649,2893.6251,Sadie Pawthorne,FALSE
26,CA-2020-121755,2020-01-16,2020-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,Wilson Jones Active Use Binders,OFF-BI-10001634,11.648,2,0.2,4.2224,19.0736,Sadie Pawthorne,FALSE
27,CA-2020-121755,2020-01-16,2020-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,Imation?8GB Mini TravelDrive USB 2.0?Flash Drive,TEC-AC-10003027,90.57,3,0,11.7741,259.9359,Sadie Pawthorne,FALSE
28,US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",FUR-BO-10004834,3083.43,7,0.5,-1665.0522,23249.0622,Chuck Magee,FALSE
29,US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,OFF-BI-10000474,9.618,2,0.7,-7.0532,26.2892,Chuck Magee,FALSE
30,US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",FUR-FU-10004984,124.2,3,0.2,15.525,357.075,Chuck Magee,FALSE
31,US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,Poly String Tie Envelopes,OFF-EN-10001509,3.264,2,0.2,1.1016,5.4264,Chuck Magee,FALSE
32,US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",OFF-AR-10004042,86.304,6,0.2,9.7092,508.1148,Chuck Magee,FALSE
33,US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",OFF-BI-10001525,6.858,6,0.7,-5.715,46.863,Chuck Magee,FALSE
34,US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,Lumber Crayons,OFF-AR-10001683,15.76,2,0.2,3.546,27.974,Chuck Magee,FALSE
35,CA-2021-107727,2021-10-19,2021-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,Easy-staple paper,OFF-PA-10004947,29.472,3,0.2,9.9468,78.4692,Roxanne Rodriguez,FALSE
36,CA-2020-117590,2020-12-08,2020-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,GE 30524EE4,TEC-PH-10004977,1097.544,7,0.2,123.4737,7559.3343,Roxanne Rodriguez,FALSE
37,CA-2020-117590,2020-12-08,2020-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",FUR-FU-10003664,190.92,5,0.6,-147.963,1102.563,Roxanne Rodriguez,FALSE
38,CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",OFF-EN-10002986,113.328,9,0.2,35.415,984.537,Roxanne Rodriguez,FALSE
39,CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",FUR-BO-10002545,532.3992,3,0.32,-46.9764,1644.174,Roxanne Rodriguez,FALSE
40,CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",FUR-CH-10004218,212.058,3,0.3,-15.147,651.321,Roxanne Rodriguez,FALSE
41,CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,Plantronics HL10 Handset Lifter,TEC-PH-10000486,371.168,4,0.2,41.7564,1442.9156,Roxanne Rodriguez,FALSE
42,CA-2021-120999,2021-09-10,2021-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,Panasonic Kx-TS550,TEC-PH-10004093,147.168,4,0.2,16.5564,572.1156,Roxanne Rodriguez,FALSE
43,CA-2020-101343,2020-07-17,2020-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",OFF-ST-10003479,77.88,2,0,3.894,151.866,Sadie Pawthorne,FALSE
44,CA-2021-139619,2021-09-19,2021-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",OFF-ST-10003282,95.616,2,0.2,9.5616,181.6704,Fred Suzuki,FALSE
45,CA-2020-118255,2020-03-11,2020-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",TEC-AC-10000171,45.98,2,0,19.7714,72.1886,Roxanne Rodriguez,FALSE
46,CA-2020-118255,2020-03-11,2020-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,OFF-BI-10003291,17.46,2,0,8.2062,26.7138,Roxanne Rodriguez,FALSE
47,CA-2018-146703,2018-10-20,2018-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",OFF-ST-10001713,211.96,4,0,8.4784,839.3616,Roxanne Rodriguez,FALSE
48,CA-2020-169194,2020-06-20,2020-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,Imation?8gb Micro Traveldrive Usb 2.0?Flash Drive,TEC-AC-10002167,45,3,0,4.95,130.05,Chuck Magee,FALSE
49,CA-2020-169194,2020-06-20,2020-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",TEC-PH-10003988,21.8,2,0,6.104,37.496,Chuck Magee,FALSE
50,CA-2019-115742,2019-04-18,2019-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",OFF-BI-10004410,38.22,6,0,17.9634,211.3566,Roxanne Rodriguez,FALSE
51,CA-2019-115742,2019-04-18,2019-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,Avery 485,OFF-LA-10002762,75.18,6,0,35.3346,415.7454,Roxanne Rodriguez,FALSE
52,CA-2019-115742,2019-04-18,2019-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,FUR-FU-10001706,6.16,2,0,2.9568,9.3632,Roxanne Rodriguez,FALSE
53,CA-2019-115742,2019-04-18,2019-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,"Global Leather Task Chair, Black",FUR-CH-10003061,89.99,1,0,17.0981,72.8919,Roxanne Rodriguez,FALSE
54,CA-2020-105816,2020-12-11,2020-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,Advantus Push Pins,OFF-FA-10000304,15.26,7,0,6.2566,100.5634,Chuck Magee,FALSE
55,CA-2020-105816,2020-12-11,2020-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,TEC-PH-10002447,1029.95,5,0,298.6855,4851.0645,Chuck Magee,FALSE
56,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,Home/Office Personal File Carts,OFF-ST-10000604,208.56,6,0,52.14,1199.22,Chuck Magee,TRUE
57,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,Xerox 232,OFF-PA-10001569,32.4,5,0,15.552,146.448,Chuck Magee,TRUE
58,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,Novimex Turbo Task Chair,FUR-CH-10003968,319.41,5,0.1,7.098,1589.952,Chuck Magee,TRUE
59,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",OFF-PA-10000587,14.56,2,0,6.9888,22.1312,Chuck Magee,TRUE
60,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,Imation?8gb Micro Traveldrive Usb 2.0?Flash Drive,TEC-AC-10002167,30,2,0,3.3,56.7,Chuck Magee,TRUE
61,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,Plastic Binding Combs,OFF-BI-10001460,48.48,4,0.2,16.362,177.558,Chuck Magee,TRUE
62,CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,Prang Dustless Chalk Sticks,OFF-AR-10001868,1.68,1,0,0.84,0.84,Chuck Magee,TRUE
63,CA-2019-135545,2019-11-24,2019-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",TEC-AC-10004633,13.98,2,0,6.1512,21.8088,Sadie Pawthorne,FALSE
64,CA-2019-135545,2019-11-24,2019-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",OFF-BI-10001078,25.824,6,0.2,9.3612,145.5828,Sadie Pawthorne,FALSE
65,CA-2019-135545,2019-11-24,2019-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,Xerox 1943,OFF-PA-10003892,146.73,3,0,68.9631,371.2269,Sadie Pawthorne,FALSE
66,CA-2019-135545,2019-11-24,2019-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,FUR-FU-10000397,79.76,4,0,22.3328,296.7072,Sadie Pawthorne,FALSE
67,US-2019-164175,2019-04-30,2019-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",FUR-CH-10004979,213.115,5,0.3,-15.2225,1080.7975,Roxanne Rodriguez,FALSE
68,CA-2018-106376,2018-12-05,2018-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",OFF-AR-10002671,1113.024,8,0.2,111.3024,8792.8896,Sadie Pawthorne,FALSE
69,CA-2018-106376,2018-12-05,2018-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,netTALK DUO VoIP Telephone Service,TEC-PH-10002726,167.968,4,0.2,62.988,608.884,Sadie Pawthorne,FALSE
70,CA-2020-119823,2020-06-04,2020-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",OFF-PA-10000482,75.88,2,0,35.6636,116.0964,Fred Suzuki,FALSE
71,CA-2020-106075,2020-09-18,2020-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,OFF-BI-10004654,4.616,1,0.2,1.731,2.885,Chuck Magee,FALSE
72,CA-2021-114440,2021-09-14,2021-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",OFF-PA-10004675,19.05,3,0,8.763,48.387,Roxanne Rodriguez,FALSE
73,US-2019-134026,2019-04-26,2019-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,High-Back Leather Manager's Chair,FUR-CH-10000513,831.936,8,0.2,-114.3912,6769.8792,Fred Suzuki,FALSE
74,US-2019-134026,2019-04-26,2019-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",FUR-FU-10003708,97.04,2,0.2,1.213,192.867,Fred Suzuki,FALSE
75,US-2019-134026,2019-04-26,2019-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,OFF-ST-10004123,72.784,1,0.2,-18.196,90.98,Fred Suzuki,FALSE
76,US-2021-118038,2021-12-09,2021-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,Economy Binders,OFF-BI-10004182,1.248,3,0.8,-1.9344,5.6784,Roxanne Rodriguez,FALSE
77,US-2021-118038,2021-12-09,2021-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",FUR-FU-10000260,9.708,3,0.6,-5.8248,34.9488,Roxanne Rodriguez,FALSE
78,US-2021-118038,2021-12-09,2021-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",OFF-ST-10000615,27.24,3,0.2,2.724,78.996,Roxanne Rodriguez,FALSE
79,US-2018-147606,2018-11-26,2018-12-01,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",FUR-FU-10003194,19.3,5,0.6,-14.475,110.975,Roxanne Rodriguez,FALSE
80,CA-2020-127208,2020-06-12,2020-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",OFF-AP-10002118,208.16,1,0,56.2032,151.9568,Fred Suzuki,FALSE
81,CA-2020-127208,2020-06-12,2020-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,OFF-BI-10002309,16.74,3,0,8.0352,42.1848,Fred Suzuki,FALSE
82,CA-2018-139451,2018-10-12,2018-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",OFF-AR-10002053,14.9,5,0,4.172,70.328,Sadie Pawthorne,FALSE
83,CA-2018-139451,2018-10-12,2018-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",OFF-ST-10002370,21.39,1,0,6.2031,15.1869,Sadie Pawthorne,FALSE
84,CA-2019-149734,2019-09-03,2019-09-08,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,OFF-EN-10000927,200.984,7,0.2,62.8075,1344.0805,Fred Suzuki,FALSE
85,US-2021-119662,2021-11-13,2021-11-16,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,OFF-ST-10003656,230.376,3,0.2,-48.9549,740.0829,Roxanne Rodriguez,FALSE
86,CA-2021-140088,2021-05-28,2021-05-30,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,FUR-CH-10000863,301.96,2,0,33.2156,570.7044,Fred Suzuki,FALSE
87,CA-2021-155558,2021-10-26,2021-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,Logitech?LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,TEC-AC-10001998,19.99,1,0,6.7966,13.1934,Roxanne Rodriguez,FALSE
88,CA-2021-155558,2021-10-26,2021-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,Avery 511,OFF-LA-10000134,6.16,2,0,2.9568,9.3632,Roxanne Rodriguez,FALSE
89,CA-2020-159695,2020-04-05,2020-04-10,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,OFF-ST-10003442,158.368,7,0.2,13.8572,1094.7188,Roxanne Rodriguez,FALSE
90,CA-2020-109806,2020-09-17,2020-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,OFF-AR-10004930,20.1,3,0,6.633,53.667,Sadie Pawthorne,TRUE
91,CA-2020-109806,2020-09-17,2020-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,Panasonic Kx-TS550,TEC-PH-10004093,73.584,2,0.2,8.2782,138.8898,Sadie Pawthorne,TRUE
92,CA-2020-109806,2020-09-17,2020-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,Xerox 1995,OFF-PA-10000304,6.48,1,0,3.1104,3.3696,Sadie Pawthorne,TRUE
93,CA-2019-149587,2019-01-31,2019-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,Xerox 1999,OFF-PA-10003177,12.96,2,0,6.2208,19.6992,Roxanne Rodriguez,FALSE
